procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 0  0        63996      3015064        20556       768452    0    0     0 230272 6086 3861   1   1  97   0   0 2018-11-21 02:10:29
 0  0        63996      3015048        20564       768452    0    0     0 230788 6359 3907   1   2  97   0   0 2018-11-21 02:10:32
 1  0        63996      3014528        20564       768452    0    0     0 295159 9888 4935   1   3  96   0   0 2018-11-21 02:10:35
 0  0        63996      3014640        20572       768452    0    0     0 292057 7886 4845   1   2  96   0   0 2018-11-21 02:10:38
 2  0        63996      3014648        20572       768456    0    0     0 131371 3284 2226   1   2  97   0   0 2018-11-21 02:10:41
 0  0        63996      3014648        20580       768456    0    0     0 102447 2652 1682   1   1  98   0   0 2018-11-21 02:10:44
 0  0        63996      3014648        20580       768456    0    0     0 102400 2616 1812   1   1  98   0   0 2018-11-21 02:10:47
 0  0        63996      3015344        20588       768460    0    0     0 134404 3364 2223   1   2  97   0   0 2018-11-21 02:10:50
 1  0        63996      3015352        20588       768680    0    0     0 102741 2636 1768   1   1  98   0   0 2018-11-21 02:10:53
 0  0        63996      3014468        20596       768464    0    0     0 111589 3177 1976   1   1  98   0   0 2018-11-21 02:10:56
 0  0        63996      3014508        20596       768468    0    0     0 126037 3192 2196   1   1  98   0   0 2018-11-21 02:10:59
 0  0        63992      3014716        20604       768548    1    0    25 102756 2883 1889   1   1  98   0   0 2018-11-21 02:11:02
 0  0        63992      3014856        20604       768548    0    0     0 131627 3414 2315   1   1  98   0   0 2018-11-21 02:11:05
 0  0        63992      3014864        20612       768548    0    0     0 105187 2779 1870   1   1  98   0   0 2018-11-21 02:11:08
 0  0        63992      3014784        20612       768548    0    0     0 121535 3476 2062   1   1  97   0   0 2018-11-21 02:11:11
 0  0        63992      3014864        20620       768552    0    0     0 105519 3508 1810   1   1  98   0   0 2018-11-21 02:11:14
 0  0        63992      3014824        20620       768552    0    0     0 120747 3173 2185   1   1  98   0   0 2018-11-21 02:11:17
