Linux 4.4.132-0404132-generic (pl2) 	2018-10-22 	_x86_64_	(24 CPU)

12:48:46 AM   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  Command
12:49:07 AM     0         -     61968    0.33    0.00    0.00    0.33     7  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:49:07 AM     0         -     61969    0.00    0.33    0.00    0.33    11  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:49:07 AM     0         -     61970    0.33    0.00    0.00    0.33     4  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:49:07 AM     0         -     61971    0.33    0.33    0.00    0.67    10  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:49:07 AM     0         -     61972    2.00    3.00    0.00    5.00     8  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:49:07 AM     0         -     61973    1.00    4.00    0.00    5.00     6  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
12:49:07 AM     0         -     61974    2.33    2.33    0.00    4.67     9  |__/home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size

12:49:07 AM   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  Command
12:49:10 AM     0     61894         -   16.00   17.33    0.00   33.33     5  /home/ljishen/rocksdb-5.14.3/db_bench --benchmarks=readrandommergerandom --db=/mnt/sdc1/rocksdb_data --key_size=16 --value_size
