seconds,non-idle (%),utilization (%),
3327,99.55833333333334,99.55833333333334,
3330,99.61333333333333,99.61333333333333,
3333,99.49833333333333,99.49833333333333,
3336,99.78,99.78,
3339,99.49833333333333,99.49833333333333,
3342,99.50166666666667,99.44666666666666,
3345,99.00333333333333,99.00333333333333,
3348,99.27833333333334,99.27833333333334,
3351,99.28,99.28,
3354,99.16833333333334,99.16833333333334,
3357,99.66833333333334,99.61333333333333,
3360,99.835,99.835,
3363,99.78,99.78,
3366,99.33333333333333,99.33333333333333,
3369,99.50166666666667,99.50166666666667,
3372,99.17,99.17,
3375,99.49833333333333,99.49833333333333,
3378,99.555,99.5,
3381,99.67,99.67,
3384,99.11333333333333,99.11333333333333,
3387,99.67,99.67,
3390,99.55666666666667,99.55666666666667,
3393,99.55666666666667,99.55666666666667,
3396,99.33333333333333,99.33333333333333,
3399,99.16666666666667,99.16666666666667,
3402,99.27666666666667,99.27666666666667,
3405,99.55666666666667,99.55666666666667,
3408,99.49833333333333,99.49833333333333,
3411,99.39,99.39,
3414,99.38833333333334,99.38833333333334,
3417,99.39166666666667,99.39166666666667,
3420,99.0,99.0,
3423,99.835,99.835,
3426,99.50166666666667,99.50166666666667,
3429,99.55666666666667,99.55666666666667,
3432,99.725,99.66999999999999,
3435,99.44666666666667,99.44666666666667,
3438,99.39,99.39,
3441,98.72333333333333,98.72333333333333,
3444,98.88833333333334,98.88833333333334,
3447,99.335,99.335,
3450,98.94333333333333,98.94333333333333,
3453,99.5,99.5,
3456,99.55666666666667,99.55666666666667,
3459,99.445,99.445,
3462,99.44333333333333,99.44333333333333,
3465,99.27666666666667,99.27666666666667,
3468,99.55666666666667,99.55666666666667,
3471,99.055,99.055,
3474,99.05666666666667,99.05666666666667,
3477,99.0,99.0,
3480,99.445,99.445,
3483,99.61333333333333,99.61333333333333,
3486,99.39,99.39,
3489,99.445,99.445,
3492,99.49833333333333,99.49833333333333,
3495,98.77833333333334,98.77833333333334,
3498,99.78,99.78,
3501,98.78,98.725,
3504,98.66666666666667,98.61166666666666,
3507,99.61166666666666,99.61166666666666,
3510,99.335,99.335,
3513,99.445,99.445,
3516,98.83166666666666,98.83166666666666,
3519,99.39,99.39,
3522,99.22,99.22,
3525,99.38833333333334,99.38833333333334,
3528,99.89,99.89,
3531,99.33166666666666,99.33166666666666,
3534,99.22333333333333,99.22333333333333,
3537,99.50166666666667,99.50166666666667,
3540,99.38833333333334,99.38833333333334,
3543,99.33666666666667,99.33666666666667,
3546,99.55666666666667,99.55666666666667,
3549,99.44333333333333,99.33166666666666,
3552,99.00333333333333,99.00333333333333,
3555,99.555,99.555,
3558,99.72333333333333,99.72333333333333,
3561,99.555,99.555,
3564,99.38833333333334,99.38833333333334,
3567,99.16666666666667,99.16666666666667,
3570,99.61166666666666,99.61166666666666,
3573,99.22333333333333,99.11166666666666,
3576,99.555,99.5,
3579,99.61333333333333,99.61333333333333,
3582,99.50166666666667,99.50166666666667,
3585,99.44666666666667,99.44666666666667,
3588,99.5,99.5,
3591,99.38833333333334,99.38833333333334,
3594,99.22333333333333,99.22333333333333,
3597,99.27833333333334,99.16833333333334,
3600,99.55666666666667,99.55666666666667,
3603,99.445,99.445,
3606,99.72333333333333,99.72333333333333,
3609,99.335,99.335,
3612,99.38833333333334,99.38833333333334,
3615,99.05333333333333,99.05333333333333,
3618,99.61166666666666,99.61166666666666,
3621,99.28,99.28,
3624,99.61,99.61,
3627,99.555,99.555,
3630,99.55666666666667,99.55666666666667,
3633,99.28,99.28,
3636,99.055,99.055,
3639,99.22333333333333,99.22333333333333,
3642,99.335,99.335,
3645,99.50333333333333,99.44833333333332,
3648,99.61166666666666,99.55666666666666,
3651,99.61166666666666,99.61166666666666,
3654,99.77833333333334,99.77833333333334,
3657,99.725,99.725,
3660,99.44333333333333,99.44333333333333,
3663,99.615,99.615,
3666,99.275,99.275,
3669,99.39166666666667,99.33666666666666,
3672,99.55666666666667,99.55666666666667,
3675,99.44666666666667,99.44666666666667,
3678,99.27833333333334,99.27833333333334,
3681,99.44666666666667,99.44666666666667,
3684,99.165,99.165,
3687,99.22333333333333,99.22333333333333,
3690,99.55666666666667,99.55666666666667,
3693,99.55666666666667,99.55666666666667,
3696,99.5,99.445,
3699,99.55666666666667,99.55666666666667,
3702,99.66666666666667,99.66666666666667,
3705,99.5,99.5,
3708,99.445,99.445,
3711,99.55666666666667,99.55666666666667,
3714,99.11333333333333,99.11333333333333,
3717,99.27833333333334,99.27833333333334,
3720,99.5,99.5,
3723,99.78,99.78,
3726,99.28,99.28,
3729,99.445,99.445,
3732,98.945,98.945,
3735,99.555,99.555,
3738,99.835,99.835,
3741,99.16833333333334,99.16833333333334,
3744,99.445,99.445,
3747,99.55666666666667,99.55666666666667,
3750,99.50166666666667,99.50166666666667,
3753,99.00333333333333,99.00333333333333,
3756,99.78,99.78,
3759,99.38833333333334,99.38833333333334,
3762,99.61166666666666,99.61166666666666,
3765,99.16666666666667,99.16666666666667,
3768,99.56,99.505,
3771,99.55333333333333,99.55333333333333,
3774,99.335,99.335,
3777,99.50333333333333,99.50333333333333,
3780,98.99833333333333,98.99833333333333,
3783,99.27666666666667,99.27666666666667,
3786,99.445,99.445,
3789,99.44666666666667,99.44666666666667,
3792,99.55833333333334,99.55833333333334,
3795,99.725,99.725,
3798,99.445,99.445,
3801,99.22333333333333,99.22333333333333,
3804,99.38833333333334,99.38833333333334,
3807,99.555,99.555,
3810,99.11333333333333,99.11333333333333,
3813,99.16666666666667,99.16666666666667,
3816,99.55666666666667,99.50166666666667,
3819,99.22,99.22,
3822,99.44666666666667,99.44666666666667,
3825,99.38833333333334,99.38833333333334,
3828,99.33333333333333,99.33333333333333,
3831,99.27833333333334,99.27833333333334,
3834,99.445,99.445,
3837,99.10833333333333,99.10833333333333,
3840,99.39166666666667,99.33666666666666,
3843,98.11333333333333,98.11333333333333,
3846,99.5,99.5,
3849,99.5,99.5,
3852,99.39,99.39,
3855,99.49833333333333,99.49833333333333,
3858,99.39,99.39,
3861,98.94333333333333,98.94333333333333,
3864,99.44333333333333,99.44333333333333,
3867,99.33333333333333,99.33333333333333,
3870,99.835,99.835,
3873,99.66833333333334,99.66833333333334,
3876,99.55666666666667,99.55666666666667,
3879,99.05666666666667,99.05666666666667,
3882,99.61166666666666,99.61166666666666,
3885,99.61,99.61,
3888,99.50333333333333,99.50333333333333,
3891,99.61,99.61,
3894,99.66833333333334,99.66833333333334,
3897,99.50166666666667,99.50166666666667,
3900,99.66833333333334,99.66833333333334,
3903,99.33333333333333,99.33333333333333,
3906,99.44333333333333,99.44333333333333,
3909,99.61166666666666,99.61166666666666,
3912,99.11166666666666,99.11166666666666,
3915,99.555,99.555,
3918,99.61333333333333,99.61333333333333,
3921,99.66666666666667,99.61166666666666,
3924,99.38666666666667,99.38666666666667,
3927,99.445,99.445,
3930,99.555,99.555,
3933,99.44666666666667,99.44666666666667,
3936,99.44666666666667,99.44666666666667,
3939,99.50166666666667,99.44666666666666,
3942,99.55666666666667,99.55666666666667,
3945,98.88833333333334,98.88833333333334,
3948,99.27833333333334,99.27833333333334,
3951,99.33333333333333,99.33333333333333,
3954,99.27666666666667,99.27666666666667,
3957,99.0,99.0,
3960,99.05833333333334,99.05833333333334,
3963,99.72166666666666,99.61,
3966,99.725,99.725,
3969,99.66833333333334,99.66833333333334,
3972,99.72333333333333,99.72333333333333,
3975,99.22333333333333,99.22333333333333,
3978,99.55833333333334,99.55833333333334,
3981,99.49833333333333,99.49833333333333,
3984,99.44333333333333,99.44333333333333,
3987,99.335,99.335,
3990,99.66833333333334,99.66833333333334,
3993,99.5,99.5,
3996,99.615,99.615,
3999,99.11333333333333,99.11333333333333,
4002,99.055,99.055,
4005,99.55666666666667,99.55666666666667,
4008,99.44333333333333,99.44333333333333,
4011,99.44333333333333,99.44333333333333,
4014,99.11,99.11,
4017,99.335,99.335,
4020,99.835,99.835,
4023,99.335,99.335,
4026,99.16833333333334,99.16833333333334,
4029,99.445,99.445,
4032,99.445,99.445,
4035,99.16666666666667,99.11166666666666,
4038,99.55666666666667,99.55666666666667,
4041,99.55666666666667,99.55666666666667,
4044,99.445,99.445,
4047,98.99833333333333,98.99833333333333,
4050,99.335,99.335,
4053,99.27833333333334,99.27833333333334,
4056,99.00333333333333,99.00333333333333,
4059,99.72333333333333,99.66833333333332,
4062,99.39166666666667,99.39166666666667,
4065,99.55666666666667,99.55666666666667,
4068,99.77833333333334,99.77833333333334,
4071,99.445,99.445,
4074,99.725,99.725,
4077,99.5,99.5,
4080,99.17,99.17,
4083,99.22333333333333,99.22333333333333,
4086,99.61333333333333,99.61333333333333,
4089,99.22333333333333,99.22333333333333,
4092,99.77833333333334,99.77833333333334,
4095,99.445,99.445,
4098,99.11,99.11,
4101,99.44666666666667,99.44666666666667,
4104,99.27666666666667,99.27666666666667,
4107,99.50166666666667,99.50166666666667,
4110,99.28166666666667,99.28166666666667,
4113,99.67,99.67,
4116,99.555,99.555,
4119,99.11333333333333,99.11333333333333,
4122,99.275,99.275,
4125,99.33333333333333,99.33333333333333,
4128,99.5,99.5,
4131,99.38833333333334,99.38833333333334,
4134,99.5,99.33333333333333,
4137,99.50166666666667,99.50166666666667,
4140,99.39,99.39,
4143,98.88833333333334,98.88833333333334,
4146,99.44666666666667,99.44666666666667,
4149,99.44333333333333,99.44333333333333,
4152,99.00166666666667,99.00166666666667,
4155,99.22166666666666,99.22166666666666,
