seconds,utilization (KB),
3306,22201480,
3309,22101076,
3312,22173560,
3315,22242296,
3318,22460912,
3321,22586984,
3324,22436712,
3327,22479004,
3330,22521904,
3333,22609268,
3336,22584804,
3339,22641232,
3342,22707496,
3345,22764584,
3348,23001960,
3351,22865520,
3354,22925192,
3357,22989848,
3360,23024132,
3363,22948104,
3366,23024284,
3369,23072592,
3372,23130324,
3375,23144384,
3378,23158640,
3381,23225328,
3384,23288792,
3387,23353184,
3390,23589884,
3393,23463512,
3396,23526764,
3399,23581752,
3402,23655508,
3405,23685288,
3408,23669536,
3411,23721528,
3414,23783108,
3417,23841784,
3420,23906204,
3423,23891980,
3426,23947856,
3429,24001008,
3432,24052984,
3435,24003484,
3438,24066284,
3441,24130932,
3444,24189408,
3447,24223964,
3450,24195904,
3453,24263068,
3456,24328296,
3459,24391640,
3462,24438756,
3465,24431544,
3468,24484224,
3471,24554756,
3474,24613204,
3477,24578336,
3480,24633868,
3483,24696176,
3486,24757932,
3489,24855784,
3492,24852960,
3495,24904604,
3498,24957552,
3501,25007892,
3504,25266032,
3507,25116056,
3510,25160516,
3513,25207784,
3516,25417688,
3519,25238276,
3522,25286132,
3525,25346624,
3528,25402172,
3531,25527100,
3534,25419844,
3537,25470076,
3540,25523860,
3543,25592040,
3546,25651208,
3549,25621108,
3552,25695796,
3555,25770368,
3558,26031964,
3561,25872968,
3564,25924504,
3567,25979936,
3570,26043192,
3573,26110240,
3576,26083320,
3579,26144164,
3582,26193940,
3585,26249536,
3588,26444268,
3591,26306120,
3594,26349768,
3597,26405568,
3600,26475804,
3603,26424652,
3606,26482056,
3609,26546684,
3612,26604976,
3615,26649996,
3618,26591664,
3621,26652988,
3624,26726512,
3627,26792880,
3630,26799464,
3633,26851368,
3636,26910804,
3639,26980096,
3642,27135948,
3645,27285776,
3648,27139852,
3651,27199644,
3654,27256736,
3657,27371600,
3660,27313220,
3663,27363656,
3666,27435620,
3669,27513616,
3672,27727440,
3675,27525260,
3678,27588692,
3681,27645484,
3684,27705196,
3687,27886004,
3690,27730548,
3693,27795780,
3696,27861252,
3699,27920596,
3702,28123760,
3705,27962572,
3708,28016268,
3711,28063448,
3714,28129960,
3717,28292584,
3720,28148912,
3723,28218432,
3726,28284824,
3729,28351676,
3732,28549528,
3735,28412224,
3738,28465416,
3741,28519792,
3744,28582916,
3747,28586220,
3750,28650856,
3753,28703964,
3756,28765332,
3759,28827984,
3762,28816480,
3765,28873448,
3768,28937416,
3771,28995096,
3774,29013704,
3777,29076140,
3780,29123484,
3783,29190176,
3786,29443660,
3789,29271604,
3792,29319408,
3795,29385084,
3798,29444932,
3801,29569924,
3804,29505752,
3807,29562768,
3810,29607144,
3813,29661708,
3816,29730020,
3819,29805820,
3822,29731116,
3825,29805268,
3828,29861664,
3831,30120824,
3834,29884240,
3837,29936664,
3840,29999984,
3843,30055464,
3846,30167316,
3849,30078832,
3852,30135368,
3855,30204128,
3858,30462544,
3861,30278448,
3864,30325320,
3867,30380692,
3870,30444756,
3873,30614364,
3876,30522432,
3879,30568372,
3882,30613532,
3885,30678456,
3888,30742152,
3891,30759832,
3894,30680960,
3897,30734688,
3900,30803808,
3903,30902320,
3906,30919196,
3909,30986700,
3912,31043964,
3915,31106272,
3918,31390868,
3921,31193028,
3924,31248904,
3927,31303624,
3930,31372136,
3933,31311976,
3936,31370192,
3939,31423000,
3942,31483272,
3945,31745992,
3948,31486696,
3951,31542000,
3954,31588208,
3957,31640016,
3960,31931136,
3963,31767984,
3966,31831700,
3969,31895584,
3972,31953492,
3975,32040876,
3978,31971816,
3981,32025600,
3984,32088744,
3987,32148284,
3990,32149924,
3993,32214724,
3996,32258260,
3999,32321588,
4002,32398368,
4005,32471500,
4008,32657248,
4011,32402208,
4014,32459416,
4017,32520224,
4020,32576648,
4023,32670156,
4026,32662248,
4029,32716608,
4032,32773412,
4035,32854352,
4038,33153000,
4041,32876800,
4044,32938712,
4047,33021472,
4050,33097996,
4053,33322104,
4056,33179392,
4059,33236428,
4062,33290504,
4065,33338872,
4068,33360532,
4071,33419164,
4074,33467684,
4077,33518668,
4080,33567768,
4083,33756372,
4086,33618488,
4089,33674176,
4092,33735436,
4095,33927528,
4098,33847464,
4101,33903076,
4104,33945684,
4107,33989660,
4110,34045592,
4113,34097852,
4116,34154384,
4119,34208932,
4122,34258096,
4125,34526596,
4128,34397696,
4131,34442136,
4134,34488932,
4137,34445332,
4140,34462128,
4143,34520608,
4146,34564808,
4149,34605632,
4152,34831364,
4155,34697212,
4158,34742400,
4161,34805836,
4164,34871784,
4167,35095284,
4170,34954892,
4173,35009796,
4176,35059520,
4179,35223672,
4182,35178328,
4185,35235936,
4188,35278120,
4191,35328352,
4194,35542140,
4197,35375540,
4200,35425144,
4203,35477812,
4206,35522696,
4209,35641588,
4212,35483008,
4215,35557476,
4218,35632444,
4221,35896220,
4224,35735108,
4227,35784020,
4230,35825724,
4233,35876420,
4236,36079552,
4239,35925344,
4242,35978240,
4245,36040816,
4248,36088580,
4251,36122644,
4254,36183092,
4257,36244116,
4260,36304920,
4263,36290100,
4266,36340556,
4269,36402084,
4272,36456420,
4275,36510428,
4278,36690380,
4281,36538700,
4284,36591704,
4287,36646644,
4290,36693916,
4293,36901504,
4296,36804220,
4299,36853992,
4302,36915032,
4305,36979880,
4308,37121852,
4311,36971284,
4314,37014648,
4317,37068652,
4320,37292892,
4323,37146520,
4326,37200320,
4329,37260552,
4332,37308356,
4335,37389288,
4338,37365172,
4341,37411660,
4344,37465088,
4347,37523644,
4350,37734456,
4353,37597272,
4356,37657320,
4359,37713488,
4362,37716188,
4365,37702288,
4368,37752560,
4371,37824476,
4374,37893712,
4377,38068044,
4380,38007688,
4383,38062588,
4386,38115280,
4389,38378796,
4392,38166308,
4395,38213864,
4398,38285056,
4401,38340352,
4404,38579760,
4407,38367748,
4410,38413400,
4413,38467572,
4416,38521584,
4419,38585892,
4422,38566108,
4425,38611112,
4428,38660652,
4431,38715304,
4434,38796136,
4437,38793868,
4440,38851076,
4443,38908588,
4446,39135608,
4449,38978780,
4452,39023540,
4455,39065072,
4458,39108508,
4461,39199084,
4464,39202680,
4467,39253672,
4470,39314080,
4473,39365856,
4476,39557656,
4479,39425660,
4482,39490476,
4485,39552156,
4488,39552772,
4491,39550880,
4494,39624372,
4497,39705584,
4500,39754964,
4503,39842348,
4506,39782216,
4509,39830972,
4512,39888568,
4515,39947804,
4518,40224472,
4521,40068352,
4524,40110380,
4527,40163652,
4530,40356452,
4533,40206348,
4536,40260912,
4539,40322696,
4542,40393604,
4545,40312048,
4548,40370908,
