procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 2  0            0      2208680        19012      1269432    0    0  1057     0 1744 2672   6   2  80  12   0 2019-03-27 06:02:49
 0  1            0      2204504        19020      1273608    0    0  1037    11 1853 2602   6   2  79  12   0 2019-03-27 06:02:52
 0  1            0      2200116        19020      1277924    0    0  1087   199 7289 2767   5   3  80  12   0 2019-03-27 06:02:55
 0  1            0      2195828        19028      1282264    0    0  1095    28 1817 2638   5   2  81  13   0 2019-03-27 06:02:58
 0  1            0      2191732        19028      1286508    0    0  1064     0 1601 2650   4   2  81  13   0 2019-03-27 06:03:01
 2  0            0      2187484        19036      1290620    0    0  1055    16 2649 2665   5   2  81  12   0 2019-03-27 06:03:04
 1  1            0      2182280        19052      1294856    0    0  1053    36 2040 2792   5   3  80  13   0 2019-03-27 06:03:07
 0  1            0      2178288        19052      1299116    0    0  1045   232 8099 2730   4   3  80  13   0 2019-03-27 06:03:10
 0  1            0      2174248        19060      1302984    0    0   980  3412 1858 2617   4   2  81  13   0 2019-03-27 06:03:13
 1  1            0      2169964        19060      1307340    0    0  1091    40 3449 2665   4   2  81  13   0 2019-03-27 06:03:16
 3  1            0      2165500        19068      1311472    0    0  1032    12 1918 2602   7   2  79  12   0 2019-03-27 06:03:19
 0  1            0      2161156        19068      1315680    0    0  1063     0 1642 2642   5   2  81  12   0 2019-03-27 06:03:22
 1  1            0      2157336        19076      1319844    0    0  1016   200 7407 2691   4   3  80  14   0 2019-03-27 06:03:25
 0  1            0      2152932        19076      1324092    0    0  1069     0 1607 2629   4   2  81  13   0 2019-03-27 06:03:28
 0  1            0      2148984        19084      1328468    0    0  1083    28 1815 2653   4   2  81  13   0 2019-03-27 06:03:31
 0  1            0      2144960        19092      1332632    0    0  1020  2105 1703 2632   5   2  81  12   0 2019-03-27 06:03:34
 0  1            0      2140512        19092      1336820    0    0  1075   175 6679 2811   5   3  78  13   0 2019-03-27 06:03:37
 0  1            0      2136108        19104      1341016    0    0  1056    55 1799 2655   4   2  81  13   0 2019-03-27 06:03:40
 1  1            0      2132248        19104      1345228    0    0  1044     1 1591 2656   4   2  81  12   0 2019-03-27 06:03:43
 1  1            0      2127880        19112      1349500    0    0  1067     8 1723 2656   4   2  81  12   0 2019-03-27 06:03:46
 0  1            0      2123724        19120      1353776    0    0  1079    11 1782 2635   4   2  81  12   0 2019-03-27 06:03:49
 0  1            0      2118552        19120      1357988    0    0  1079     0 1639 2652   4   2  81  13   0 2019-03-27 06:03:52
