procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0            0      2359484        46588      1404772    0    0     0 303535 6273 4995   1   2  97   0   0 2018-12-01 00:16:20
 1  0            0      2359476        46588      1404772    0    0     0 304171 6338 5025   2   2  96   0   0 2018-12-01 00:16:23
 1  0            0      2359508        46596      1404776    0    0     0 306272 6848 5229   2   2  96   0   0 2018-12-01 00:16:26
 0  0            0      2359396        46600      1404780    0    0     0 307979 6589 5247   1   2  97   0   0 2018-12-01 00:16:29
 0  0            0      2359932        46608      1404780    0    0     0 306619 6557 5221   2   2  96   0   0 2018-12-01 00:16:32
 0  0            0      2359948        46608      1404780    0    0     0 305697 8147 6804   1   2  97   0   0 2018-12-01 00:16:35
 0  0            0      2359924        46616      1404780    0    0     0 306096 6465 5150   2   2  96   0   0 2018-12-01 00:16:38
 0  0            0      2359196        46616      1404780    0    0     0 302805 6352 4934   2   2  96   0   0 2018-12-01 00:16:41
 0  0            0      2359156        46624      1404784    0    0     0 305839 6432 5127   1   2  97   0   0 2018-12-01 00:16:44
 0  0            0      2359240        46624      1404788    0    0     0 306603 6353 4996   1   2  96   0   0 2018-12-01 00:16:47
 1  0            0      2359272        46632      1404788    0    0     0 304729 6281 5009   1   2  97   0   0 2018-12-01 00:16:50
 0  0            0      2359212        46632      1404788    0    0     0 302165 6243 4956   1   2  97   0   0 2018-12-01 00:16:53
 0  0            0      2359480        46640      1404788    0    0     0 305839 6659 5182   1   2  96   0   0 2018-12-01 00:16:56
 0  0            0      2359576        46640      1404788    0    0     0 307885 6310 5020   1   2  97   0   0 2018-12-01 00:16:59
 0  0            0      2359884        46652      1404796    0    0     3 306868 6455 5146   2   2  96   0   0 2018-12-01 00:17:02
 0  0            0      2359844        46652      1404800    0    0     0 304305 6482 5218   1   2  97   0   0 2018-12-01 00:17:05
 0  0            0      2359840        46660      1404800    0    0     0 307736 6550 5186   2   2  96   0   0 2018-12-01 00:17:08
 1  0            0      2359808        46660      1404800    0    0     0 304961 6834 5487   1   2  96   0   0 2018-12-01 00:17:11
 1  0            0      2359864        46668      1404800    0    0     0 307076 6413 5134   1   2  97   0   0 2018-12-01 00:17:14
 2  0            0      2360188        46668      1404804    0    0     0 305493 6531 4975   1   2  96   0   0 2018-12-01 00:17:17
 0  0            0      2360180        46676      1404804    0    0     0 309124 6299 5111   1   2  97   0   0 2018-12-01 00:17:20
 0  0            0      2359668        46676      1404804    0    0     0 303787 6157 4991   1   2  96   0   0 2018-12-01 00:17:23
 1  0            0      2360132        46684      1404804    0    0     0 303919 6383 5194   1   2  97   0   0 2018-12-01 00:17:26
 0  0            0      2360156        46684      1404808    0    0     0 308949 6229 5021   1   2  97   0   0 2018-12-01 00:17:29
 0  0            0      2360084        46692      1404812    0    0     0 304260 6329 5031   2   2  96   0   0 2018-12-01 00:17:32
 0  0            0      2360044        46692      1404812    0    0     0 304248 7813 6420   1   2  97   0   0 2018-12-01 00:17:35
 1  0            0      2360216        46700      1404816    0    0     0 305636 6322 5087   1   2  96   0   0 2018-12-01 00:17:38
 0  0            0      2360052        46700      1404816    0    0     0 303448 6193 4953   2   2  96   0   0 2018-12-01 00:17:41
 0  0            0      2360076        46708      1404820    0    0     0 306739 6431 5147   1   2  96   0   0 2018-12-01 00:17:44
 0  0            0      2358992        46708      1404820    0    0     0 304012 7470 6068   2   2  96   0   0 2018-12-01 00:17:47
 0  0            0      2359116        46716      1404824    0    0     0 301913 6361 5155   1   2  97   0   0 2018-12-01 00:17:50
 1  0            0      2359388        46716      1404824    0    0     0 305024 6436 4979   1   3  96   0   0 2018-12-01 00:17:53
 0  0            0      2358920        46724      1404824    0    0     0 304089 6298 5011   2   2  96   0   0 2018-12-01 00:17:56
 0  0            0      2358920        46724      1404824    0    0     0 304469 6186 4978   1   2  97   0   0 2018-12-01 00:17:59
 0  0            0      2359236        46732      1404824    0    0     0 299865 6338 4970   2   2  96   0   0 2018-12-01 00:18:02
 0  0            0      2359372        46732      1404828    0    0     0 298368 6109 4864   1   2  97   0   0 2018-12-01 00:18:05
 0  0            0      2359596        46740      1404836    0    0     0 301709 6374 5092   1   2  96   0   0 2018-12-01 00:18:08
 1  0            0      2359224        46740      1404836    0    0     0 296628 6531 5231   2   2  96   0   0 2018-12-01 00:18:11
 0  0            0      2359176        46748      1404836    0    0     0 299747 6310 5061   1   2  97   0   0 2018-12-01 00:18:14
 0  0            0      2359292        46748      1404836    0    0     0 299820 6762 4942   1   2  96   0   0 2018-12-01 00:18:17
 0  0            0      2359248        46756      1404840    0    0     0 297408 7074 5423   1   2  97   0   0 2018-12-01 00:18:20
 0  0            0      2359256        46756      1404844    0    0     0 299051 6188 4922   2   2  96   0   0 2018-12-01 00:18:23
 0  0            0      2359656        46764      1404844    0    0     0 297604 6525 4956   1   2  96   0   0 2018-12-01 00:18:26
 0  0            0      2359636        46764      1404844    0    0     0 300971 6436 4893   1   2  97   0   0 2018-12-01 00:18:29
 0  0            0      2359324        46772      1404844    0    0     0 301828 6305 5003   2   2  96   0   0 2018-12-01 00:18:32
 0  0            0      2359192        46772      1404848    0    0     0 304737 7925 6261   1   2  97   0   0 2018-12-01 00:18:35
 0  0            0      2359064        46780      1404848    0    0     0 298073 6459 4972   1   2  96   0   0 2018-12-01 00:18:38
 0  0            0      2359472        46780      1404848    0    0     0 300501 6212 4929   1   2  97   0   0 2018-12-01 00:18:41
 1  0            0      2359380        46788      1404848    0    0     0 301145 6624 5073   1   2  97   0   0 2018-12-01 00:18:44
 1  0            0      2359464        46788      1404848    0    0     0 299912 6410 5139   2   2  96   0   0 2018-12-01 00:18:47
 0  0            0      2359504        46796      1404852    0    0     0 302691 6496 5170   1   2  97   0   0 2018-12-01 00:18:50
 1  0            0      2359688        46796      1404856    0    0     0 301568 6166 4890   1   2  96   0   0 2018-12-01 00:18:53
 1  0            0      2359464        46804      1404856    0    0     0 298372 6383 5043   1   2  96   0   0 2018-12-01 00:18:56
 1  0            0      2359520        46804      1404856    0    0     0 299307 6089 4879   1   2  97   0   0 2018-12-01 00:18:59
 0  0            0      2359368        46812      1404864    0    0     0 299660 7181 5855   2   3  96   0   0 2018-12-01 00:19:02
 0  0            0      2359512        46812      1404864    0    0     0 299051 6136 4886   1   2  97   0   0 2018-12-01 00:19:05
 0  0            0      2359644        46820      1404868    0    0     0 298936 6403 5140   1   2  96   0   0 2018-12-01 00:19:08
 0  0            0      2359720        46820      1404868    0    0     0 298795 6432 4921   2   2  96   0   0 2018-12-01 00:19:11
 0  0            0      2359776        46828      1404872    0    0     0 301785 6203 4968   1   2  97   0   0 2018-12-01 00:19:14
 0  0            0      2359512        46828      1404872    0    0     0 298155 6671 4883   1   2  96   0   0 2018-12-01 00:19:17
 0  0            0      2359488        46836      1404872    0    0     0 299789 7540 5194   1   2  97   0   0 2018-12-01 00:19:20
 0  0            0      2359076        46836      1404876    0    0     0 298539 6091 4897   2   2  96   0   0 2018-12-01 00:19:23
 0  0            0      2359340        46844      1404876    0    0     0 299197 6415 5189   2   2  96   0   0 2018-12-01 00:19:26
 0  0            0      2359512        46844      1404876    0    0     0 303829 6212 4932   1   2  97   0   0 2018-12-01 00:19:29
 0  0            0      2359172        46852      1404880    0    0     0 178351 3682 2872   1   2  97   0   0 2018-12-01 00:19:32
 0  0            0      2359156        46852      1404880    0    0     0 272255 10935 9639   1   2  96   0   0 2018-12-01 00:19:35
 0  0            0      2358712        46860      1404884    0    0     0 299872 6240 5020   2   2  96   0   0 2018-12-01 00:19:38
 0  0            0      2358920        46860      1404888    0    0     0 300032 6155 4930   1   2  97   0   0 2018-12-01 00:19:41
 0  0            0      2358944        46868      1404888    0    0     0 301316 6233 4954   1   2  97   0   0 2018-12-01 00:19:44
 0  0            0      2359496        46868      1404888    0    0     0 301653 6208 4973   2   2  96   0   0 2018-12-01 00:19:47
 0  0            0      2359340        46876      1404888    0    0     0 257455 5330 4177   1   2  97   0   0 2018-12-01 00:19:50
 0  0            0      2359492        46876      1404888    0    0     0 173995 3717 2914   1   2  97   0   0 2018-12-01 00:19:53
 0  0            0      2359724        46884      1404892    0    0     0 301453 6617 5300   2   2  96   0   0 2018-12-01 00:19:56
 0  0            0      2359756        46884      1404892    0    0     0 302251 6384 4900   1   2  97   0   0 2018-12-01 00:19:59
 1  0            0      2359340        46892      1404900    0    0     0 300687 6867 5141   2   3  96   0   0 2018-12-01 00:20:02
 1  0            0      2359508        46892      1404900    0    0     0 305493 6299 4983   1   2  97   0   0 2018-12-01 00:20:05
 0  0            0      2359400        46900      1404900    0    0     0 277560 5964 4767   1   2  97   0   0 2018-12-01 00:20:08
 0  0            0      2359292        46900      1404908    0    0     0 162283 4037 3258   1   2  97   0   0 2018-12-01 00:20:11
 0  0            0      2359172        46908      1404908    0    0     0 298884 6221 4957   1   2  97   0   0 2018-12-01 00:20:14
 0  0            0      2359548        46908      1404908    0    0     0 120405 2852 2025   2   1  96   1   0 2018-12-01 00:20:17
 0  0            0      2359524        46916      1404912    0    0     0 103599 2333 1835   1   1  98   0   0 2018-12-01 00:20:20
 0  0            0      2359540        46916      1404912    0    0     0 126933 2800 2194   1   1  98   0   0 2018-12-01 00:20:23
 0  0            0      2359152        46924      1404916    0    0     0 111364 2619 1987   1   1  98   0   0 2018-12-01 00:20:26
 1  0            0      2359044        46924      1404916    0    0     0 123477 2704 2108   1   1  98   0   0 2018-12-01 00:20:29
 0  0            0      2359224        46932      1404916    0    0     0 113849 2666 2103   1   1  98   0   0 2018-12-01 00:20:32
 1  0            0      2359092        46940      1404916    0    0     0 113656 6932 6347   1   1  97   0   0 2018-12-01 00:20:35
 0  0            0      2359032        46940      1404916    0    0     0 91008 1901 1424   1   1  98   0   0 2018-12-01 00:20:38
 0  0            0      2359672        46948      1404916    0    0     0 134404 2976 2289   1   1  98   0   0 2018-12-01 00:20:41
 0  0            0      2359564        46948      1404920    0    0     0 115627 2372 1861   1   1  98   0   0 2018-12-01 00:20:44
 0  0            0      2358996        46956      1404924    0    0     0 90259 2339 1733   1   1  98   0   0 2018-12-01 00:20:47
 0  0            0      2358740        46956      1404924    0    0     0 134016 3277 2216   1   1  98   0   0 2018-12-01 00:20:50
 1  0            0      2358932        46964      1405148    0    0     0 115588 2894 2085   1   1  98   0   0 2018-12-01 00:20:53
 0  0            0      2359172        46964      1404928    0    0     0 88917 2087 1601   1   1  98   0   0 2018-12-01 00:20:56
 1  0            0      2359236        46972      1404936    0    0     0 137860 3122 2500   1   1  98   0   0 2018-12-01 00:20:59
 0  0            0      2358900        46988      1404936    0    0     0 98237 2353 1965   1   1  98   0   0 2018-12-01 00:21:02
 2  0            0      2358924        46988      1404936    0    0     0 126687 2981 2401   1   1  98   0   0 2018-12-01 00:21:05
 2  0            0      2359044        46996      1404936    0    0     0 109119 2610 2137   1   1  98   0   0 2018-12-01 00:21:08
 0  0            0      2358532        46996      1404940    0    0     0 103171 2415 1858   1   1  98   0   0 2018-12-01 00:21:11
 0  0            0      2358368        47004      1404944    0    0     0 128136 3346 2428   1   1  98   0   0 2018-12-01 00:21:14
 1  0            0      2359532        47004      1404944    0    0     0 108203 2517 1892   1   1  98   0   0 2018-12-01 00:21:17
 0  0            0      2359472        47012      1404944    0    0     0 118039 3327 2739   1   1  98   0   0 2018-12-01 00:21:20
 0  0            0      2358120        47012      1404944    0    0     0 92331 2324 1604   1   1  98   0   0 2018-12-01 00:21:23
 0  0            0      2358012        47020      1404944    0    0     0 126596 3239 2324   1   1  98   0   0 2018-12-01 00:21:26
 0  0            0      2357868        47020      1404948    0    0     0 118699 2947 1962   1   1  98   0   0 2018-12-01 00:21:29
 0  0            0      2358244        47028      1404948    0    0     0 102319 2533 1822   1   1  98   0   0 2018-12-01 00:21:32
 0  0            0      2358192        47028      1404952    0    0     0 117004 6830 6172   1   2  98   0   0 2018-12-01 00:21:35
 0  0            0      2358456        47036      1404956    0    0     0 121732 2709 2222   1   1  98   0   0 2018-12-01 00:21:38
 1  0            0      2358456        47036      1404956    0    0     0 107871 2759 2329   1   1  98   0   0 2018-12-01 00:21:41
 0  0            0      2358432        47044      1404960    0    0     0 118837 2780 2184   1   1  98   0   0 2018-12-01 00:21:44
 0  0            0      2358468        47044      1404964    0    0     0 91905 2217 1670   1   1  98   0   0 2018-12-01 00:21:47
 0  0            0      2358268        47052      1404964    0    0     0 134404 3330 2263   1   1  98   0   0 2018-12-01 00:21:50
 0  0            0      2358592        47052      1404964    0    0     0 102741 2398 1783   1   1  98   0   0 2018-12-01 00:21:53
 0  0            0      2358840        47060      1404964    0    0     0 125324 2933 2303   1   1  98   0   0 2018-12-01 00:21:56
 1  0            0      2358616        47060      1404964    0    0     0 112811 2653 1934   1   1  98   0   0 2018-12-01 00:21:59
 0  0            0      2358328        47068      1404968    0    0     0 114436 2738 2267   1   1  98   0   0 2018-12-01 00:22:02
