seconds,utilization (KB),
3621,27775636,
3624,27570004,
3627,27624356,
3630,27691408,
3633,27736028,
3636,28007684,
3639,27896772,
3642,27804980,
3645,27872328,
3648,27940828,
3651,28177564,
3654,28047968,
3657,27978976,
3660,28035828,
3663,28121604,
3666,28169628,
3669,28370140,
3672,28241280,
3675,28301568,
3678,28368868,
3681,28420900,
3684,28744692,
3687,28520836,
3690,28436136,
3693,28494668,
3696,28538868,
3699,28596528,
3702,28930084,
3705,28970440,
3708,28766000,
3711,28822304,
3714,28896352,
3717,29014432,
3720,29285232,
3723,29168128,
3726,28978720,
3729,29048972,
3732,29126232,
3735,29441180,
3738,29420680,
3741,29266352,
3744,29308516,
3747,29368608,
3750,29420824,
3753,29677276,
3756,29630028,
3759,29569240,
3762,29623136,
3765,29698680,
3768,29762408,
3771,30083144,
3774,29878624,
3777,29723444,
3780,29767736,
3783,29832748,
3786,29883360,
3789,30078788,
3792,30290024,
3795,30030112,
3798,30071004,
3801,30114088,
3804,30163068,
3807,30477056,
3810,30367028,
3813,30238280,
3816,30313988,
3819,30358216,
3822,30571888,
3825,30455380,
3828,30693540,
3831,30486428,
3834,30536848,
3837,30583776,
3840,30889580,
3843,30879732,
3846,30727468,
3849,30771212,
3852,30825120,
3855,30889108,
3858,31056888,
3861,31274972,
3864,31221700,
3867,31083088,
3870,31152012,
3873,31214384,
3876,31442556,
3879,31313808,
3882,31289640,
3885,31352304,
3888,31416792,
3891,31452460,
3894,31754080,
3897,31602204,
3900,31540960,
3903,31618492,
3906,31670420,
3909,31731388,
3912,31795452,
3915,32128264,
3918,32055072,
3921,31984868,
3924,32036012,
3927,32295968,
3930,32049768,
3933,32299672,
3936,32131648,
3939,32185540,
3942,32240004,
3945,32465212,
3948,32366908,
3951,32385172,
3954,32433760,
3957,32498636,
3960,32562404,
3963,32793960,
3966,32608800,
3969,32927988,
3972,32717100,
3975,32784472,
3978,32858904,
3981,33128200,
3984,32749196,
3987,32966852,
3990,32825464,
3993,32903224,
3996,32968680,
3999,33133284,
4002,33343808,
4005,33284496,
4008,33206508,
4011,33273820,
4014,33356748,
4017,33414348,
4020,33291608,
4023,33283808,
4026,33338212,
4029,33399860,
4032,33476792,
4035,33551828,
4038,33876236,
4041,33777528,
4044,33710776,
4047,33784116,
4050,33865916,
4053,34238020,
4056,33987236,
4059,33841692,
4062,33907120,
4065,33978048,
4068,34056048,
4071,34276624,
4074,34231748,
4077,34429372,
4080,34295956,
4083,34368100,
4086,34648176,
4089,34344540,
4092,34350756,
4095,34418272,
4098,34478280,
4101,34525888,
4104,34531188,
4107,34717488,
4110,34577656,
4113,34643596,
4116,34706568,
4119,34768388,
4122,35007880,
4125,35003080,
4128,34934752,
4131,35014636,
4134,35100560,
4137,35335420,
4140,35175012,
4143,35414832,
4146,35219900,
4149,35265644,
4152,35317920,
4155,35504240,
4158,35699056,
4161,35653504,
4164,35510448,
4167,35565588,
4170,35626372,
4173,35945788,
4176,35731536,
4179,35663316,
4182,35727452,
4185,35792576,
4188,36015880,
4191,35796780,
4194,36062068,
4197,35863048,
4200,35936288,
4203,36010016,
4206,36300552,
4209,36111884,
4212,36125528,
4215,36174520,
4218,36242804,
4221,36321664,
4224,36395620,
4227,36620244,
4230,36487752,
4233,36476456,
4236,36538572,
4239,36599928,
4242,36925892,
4245,36864740,
4248,36745480,
4251,36818964,
4254,36886516,
4257,36955960,
4260,37154808,
4263,36931704,
4266,37207312,
4269,37022048,
4272,37086128,
4275,37137956,
4278,37328376,
4281,37151372,
4284,37400260,
4287,37198904,
4290,37271148,
4293,37345716,
4296,37587440,
4299,37500992,
4302,37443804,
4305,37498192,
4308,37561968,
4311,37624648,
4314,37952664,
4317,37798028,
4320,37692852,
4323,37744808,
4326,37811740,
4329,37888028,
4332,38149104,
4335,37888944,
4338,37927952,
4341,38001484,
4344,38065568,
4347,38135424,
4350,38462708,
4353,38310900,
